Date,Open
"Jul 16, 2020","$9,191.98"
"Jul 15, 2020","$9,241.90"
"Jul 14, 2020","$9,238.70"
"Jul 13, 2020","$9,277.20"
"Jul 12, 2020","$9,241.06"
"Jul 11, 2020","$9,277.51"
"Jul 10, 2020","$9,273.36"
"Jul 09, 2020","$9,427.99"
"Jul 08, 2020","$9,253.02"
"Jul 07, 2020","$9,349.16"
"Jul 06, 2020","$9,072.85"
"Jul 05, 2020","$9,126.09"
"Jul 04, 2020","$9,084.23"
"Jul 03, 2020","$9,124.84"
"Jul 02, 2020","$9,231.14"
"Jul 01, 2020","$9,145.99"
"Jun 30, 2020","$9,185.58"
"Jun 29, 2020","$9,140.03"
"Jun 28, 2020","$9,048.46"
"Jun 27, 2020","$9,167.82"
"Jun 26, 2020","$9,260.99"
"Jun 25, 2020","$9,314.13"
"Jun 24, 2020","$9,632.15"
"Jun 23, 2020","$9,644.08"
"Jun 22, 2020","$9,300.92"
"Jun 21, 2020","$9,330.93"
"Jun 20, 2020","$9,290.96"
"Jun 19, 2020","$9,410.29"
"Jun 18, 2020","$9,481.57"
"Jun 17, 2020","$9,533.78"
"Jun 16, 2020","$9,454.27"
